status,item,description,class,vendor,on_hand,on_order,committed,curr_avail,reorder_pt_netsuite,pref_stock_netsuite,qty_sold_period,daily_sales_rate,days_of_stock,days_until_reorder,suggested_order_qty
REORDER_NOW,8341538,Complete Strut,FCS,,1.0,0.0,1.0,0.0,15.0,15.0,1.0,0.016,0.0,0.0,15
REORDER_NOW,8341979,Complete Strut,FCS,,103.0,312.0,103.0,0.0,1715.0,1715.0,412.0,6.754,0.0,0.0,1403
REORDER_NOW,8346206,Complete Strut,FCS,,1.0,73.0,1.0,0.0,209.0,209.0,51.0,0.836,0.0,0.0,136
REORDER_NOW,8346750,Complete Strut,FCS,,5.0,0.0,5.0,0.0,28.0,28.0,5.0,0.082,0.0,0.0,28
REORDER_NOW,1334221L,Complete Strut,FCS,,7.0,120.0,7.0,0.0,285.0,285.0,40.0,0.656,0.0,0.0,165
REORDER_NOW,1355087,Complete Strut,FCS,,2.0,24.0,2.0,0.0,77.0,77.0,42.0,0.689,0.0,0.0,53
REORDER_NOW,1335970,Complete Strut,FCS,,100.0,435.0,100.0,0.0,1133.0,1133.0,139.0,2.279,0.0,0.0,698
REORDER_NOW,346863,Shock,BARE,,12.0,230.0,12.0,0.0,286.0,286.0,69.0,1.131,0.0,0.0,56
REORDER_NOW,8341688,Complete Strut,FCS,,76.0,199.0,76.0,0.0,815.0,815.0,150.0,2.459,0.0,0.0,616
REORDER_NOW,1334415R,Complete Strut,FCS,,16.0,110.0,16.0,0.0,345.0,345.0,106.0,1.738,0.0,0.0,235
REORDER_NOW,8355052,Complete Strut,FCS,,53.0,55.0,53.0,0.0,460.0,460.0,6.0,0.098,0.0,0.0,405
REORDER_NOW,1334438R,Complete Strut,FCS,,9.0,252.0,9.0,0.0,271.0,271.0,74.0,1.213,0.0,0.0,19
REORDER_NOW,1334438L,Complete Strut,FCS,,4.0,96.0,4.0,0.0,264.0,264.0,58.0,0.951,0.0,0.0,168
REORDER_NOW,346962,Shock,BARE,,13.0,88.0,13.0,0.0,219.0,219.0,109.0,1.787,0.0,0.0,131
REORDER_NOW,341525,Shock,BARE,,6.0,116.0,6.0,0.0,303.0,303.0,48.0,0.787,0.0,0.0,187
